Start Time	End Time	Time Added	Device Screen Status
2022-02-02 01:19:00+00:00	2022-02-02 14:03:04+00:00	2022-02-02 14:03:04+00:00	Backlight off
2022-02-02 14:03:04+00:00	2022-02-02 14:03:08+00:00	2022-02-02 14:03:10+00:00	Backlight on
2022-02-02 14:03:08+00:00	2022-02-02 18:31:08+00:00	2022-02-02 18:31:10+00:00	Backlight off
2022-02-02 18:31:08+00:00	2022-02-02 18:31:16+00:00	2022-02-02 18:31:16+00:00	Backlight on
2022-02-02 18:31:16+00:00	2022-02-02 18:33:40+00:00	2022-02-02 18:33:43+00:00	Backlight off
2022-02-02 18:33:40+00:00	2022-02-02 18:53:04+00:00	2022-02-02 18:53:07+00:00	Backlight on
2022-02-02 18:53:04+00:00	2022-02-02 22:39:44+00:00	2022-02-02 22:39:47+00:00	Backlight off
2022-02-02 22:39:44+00:00	2022-02-02 22:39:56+00:00	2022-02-02 22:39:58+00:00	Backlight on
2022-02-02 22:39:56+00:00	2022-02-02 22:41:44+00:00	2022-02-02 22:41:47+00:00	Backlight off
2022-02-02 22:41:44+00:00	2022-02-02 22:41:56+00:00	2022-02-02 22:41:58+00:00	Backlight on
2022-02-02 22:41:56+00:00	2022-02-03 15:46:08+00:00	2022-02-03 15:46:09+00:00	Backlight off
2022-02-04 00:24:00+00:00	2022-02-04 01:16:12+00:00	2022-02-04 01:16:14+00:00	Backlight on
2022-02-04 01:16:12+00:00	2022-02-04 01:19:00+00:00	2022-02-04 01:19:02+00:00	Backlight off
2022-02-04 01:19:00+00:00	2022-02-04 01:19:04+00:00	2022-02-04 01:19:04+00:00	Backlight on
2022-02-04 01:19:04+00:00	2022-02-04 02:41:16+00:00	2022-02-04 02:41:18+00:00	Backlight off
2022-02-04 02:41:16+00:00	2022-02-04 02:41:28+00:00	2022-02-04 02:41:28+00:00	Backlight on
2022-02-04 02:41:28+00:00	2022-02-04 02:42:20+00:00	2022-02-04 02:42:20+00:00	Backlight off
2022-02-04 02:42:20+00:00	2022-02-04 02:42:28+00:00	2022-02-04 02:42:30+00:00	Backlight on
2022-02-04 02:42:28+00:00	2022-02-04 02:45:36+00:00	2022-02-04 02:45:37+00:00	Backlight off
2022-02-04 02:45:36+00:00	2022-02-04 02:45:44+00:00	2022-02-04 02:45:47+00:00	Backlight on
2022-02-04 02:45:44+00:00	2022-02-04 03:45:40+00:00	2022-02-04 03:45:41+00:00	Backlight off
2022-02-04 03:45:40+00:00	2022-02-04 03:45:48+00:00	2022-02-04 03:45:51+00:00	Backlight on
2022-02-04 03:45:48+00:00	2022-02-04 03:52:56+00:00	2022-02-04 03:52:57+00:00	Backlight off
2022-02-04 03:52:56+00:00	2022-02-04 03:53:08+00:00	2022-02-04 03:53:08+00:00	Backlight on
2022-02-04 03:53:08+00:00	2022-02-04 04:07:28+00:00	2022-02-04 04:07:29+00:00	Backlight off
2022-02-04 04:07:28+00:00	2022-02-04 04:07:36+00:00	2022-02-04 04:07:39+00:00	Backlight on
2022-02-04 04:07:36+00:00	2022-02-04 04:08:04+00:00	2022-02-04 04:08:05+00:00	Backlight off
2022-02-04 04:08:04+00:00	2022-02-04 04:15:32+00:00	2022-02-04 04:15:35+00:00	Backlight on
2022-02-04 04:15:32+00:00	2022-02-04 17:55:20+00:00	2022-02-04 17:55:21+00:00	Backlight off
2022-02-04 17:55:20+00:00	2022-02-04 17:55:32+00:00	2022-02-04 17:55:32+00:00	Backlight on
2022-02-04 17:55:32+00:00	2022-02-04 22:41:20+00:00	2022-02-04 22:41:22+00:00	Backlight off
2022-02-04 22:41:20+00:00	2022-02-04 22:41:32+00:00	2022-02-04 22:41:32+00:00	Backlight on
2022-02-04 22:41:32+00:00	2022-02-04 22:43:20+00:00	2022-02-04 22:43:22+00:00	Backlight off
2022-02-04 22:43:20+00:00	2022-02-04 22:43:32+00:00	2022-02-04 22:43:32+00:00	Backlight on
2022-02-04 22:43:32+00:00	2022-02-04 22:44:48+00:00	2022-02-04 22:44:50+00:00	Backlight off
2022-02-04 22:44:48+00:00	2022-02-04 22:45:00+00:00	2022-02-04 22:45:00+00:00	Backlight on
2022-02-04 22:45:00+00:00	2022-02-05 00:18:44+00:00	2022-02-05 00:18:45+00:00	Backlight off
2022-02-05 00:18:44+00:00	2022-02-05 00:18:52+00:00	2022-02-05 00:18:55+00:00	Backlight on
2022-02-05 00:18:52+00:00	2022-02-05 04:08:52+00:00	2022-02-05 04:08:55+00:00	Backlight off
2022-02-05 04:08:52+00:00	2022-02-05 04:09:04+00:00	2022-02-05 04:09:05+00:00	Backlight on
2022-02-05 04:09:04+00:00	2022-02-05 14:44:36+00:00	2022-02-05 14:44:38+00:00	Backlight off
2022-02-05 14:44:36+00:00	2022-02-05 14:44:48+00:00	2022-02-05 14:44:48+00:00	Backlight on
2022-02-05 14:44:48+00:00	2022-02-05 19:42:12+00:00	2022-02-05 19:42:14+00:00	Backlight off
2022-02-05 19:42:12+00:00	2022-02-05 19:42:24+00:00	2022-02-05 19:42:24+00:00	Backlight on
2022-02-05 19:42:24+00:00	2022-02-05 22:58:24+00:00	2022-02-05 22:58:25+00:00	Backlight off
2022-02-05 22:58:24+00:00	2022-02-05 22:58:32+00:00	2022-02-05 22:58:35+00:00	Backlight on
2022-02-05 22:58:32+00:00	2022-02-06 00:05:56+00:00	2022-02-06 00:05:56+00:00	Backlight off
2022-02-06 00:05:56+00:00	2022-02-06 00:06:04+00:00	2022-02-06 00:06:06+00:00	Backlight on
2022-02-06 00:06:04+00:00	2022-02-06 01:19:04+00:00	2022-02-06 01:19:06+00:00	Backlight off
2022-02-06 01:19:04+00:00	2022-02-06 01:19:16+00:00	2022-02-06 01:19:16+00:00	Backlight on
2022-02-06 01:19:16+00:00	2022-02-06 01:55:44+00:00	2022-02-06 01:55:45+00:00	Backlight off
2022-02-06 01:55:44+00:00	2022-02-06 01:55:52+00:00	2022-02-06 01:55:55+00:00	Backlight on
