Start Time	End Time	Battery Percentage	Is Fully Charged?	Time Added
2022-01-23 17:30:08+00:00	2022-01-23 19:00:24+00:00	38	No	2022-01-23 19:00:27+00:00
2022-01-23 19:00:24+00:00	2022-01-23 19:38:36+00:00	37	No	2022-01-23 19:38:38+00:00
2022-01-23 19:38:36+00:00	2022-01-23 21:19:00+00:00	36	No	2022-01-23 21:19:01+00:00
2022-01-23 21:19:00+00:00	2022-01-23 22:03:28+00:00	35	No	2022-01-23 22:03:28+00:00
2022-01-23 22:03:28+00:00	2022-01-23 23:20:28+00:00	34	No	2022-01-23 23:20:28+00:00
2022-01-23 23:20:28+00:00	2022-01-24 00:42:12+00:00	33	No	2022-01-24 00:42:15+00:00
2022-01-24 00:42:12+00:00	2022-01-24 02:17:20+00:00	32	No	2022-01-24 02:17:21+00:00
2022-01-24 02:17:20+00:00	2022-01-24 05:09:16+00:00	31	No	2022-01-24 05:09:17+00:00
2022-01-24 05:09:16+00:00	2022-01-24 05:54:40+00:00	30	No	2022-01-24 05:54:41+00:00
2022-01-24 05:54:40+00:00	2022-01-24 07:18:48+00:00	29	No	2022-01-24 07:18:49+00:00
2022-01-24 07:18:48+00:00	2022-01-24 08:16:48+00:00	28	No	2022-01-24 08:16:50+00:00
2022-01-24 08:16:48+00:00	2022-01-24 09:13:08+00:00	27	No	2022-01-24 09:13:08+00:00
2022-01-24 09:13:08+00:00	2022-01-24 10:41:08+00:00	26	No	2022-01-24 10:41:11+00:00
2022-01-24 10:41:08+00:00	2022-01-24 12:17:16+00:00	25	No	2022-01-24 12:17:18+00:00
2022-01-24 12:17:16+00:00	2022-01-24 13:22:12+00:00	24	No	2022-01-24 13:22:14+00:00
2022-01-24 13:22:12+00:00	2022-01-24 14:52:20+00:00	23	No	2022-01-24 14:52:21+00:00
2022-01-24 14:52:20+00:00	2022-01-24 16:40:12+00:00	22	No	2022-01-24 16:40:13+00:00
2022-01-24 16:40:12+00:00	2022-01-24 17:57:36+00:00	21	No	2022-01-24 17:57:39+00:00
2022-01-24 17:57:36+00:00	2022-01-24 19:47:36+00:00	20	No	2022-01-24 19:47:37+00:00
2022-01-24 19:47:36+00:00	2022-01-24 22:57:00+00:00	19	No	2022-01-24 22:57:00+00:00
2022-01-24 22:57:00+00:00	2022-01-25 00:51:48+00:00	18	No	2022-01-25 00:51:52+00:00
